,EILC,,TMS,,TMS,,UNMD,,UNMI,,UP,,ASMRV,
Filename,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall,Precision,Recall
ADI-master,1,1,0,1,1,1,1,1,1,1,0.05,1,0,1
android-tree-sitter-main,0.33,1,0.43,1,0.5,0.5,0,1,0.23,0.15,0,1,0,1
Android-Zbar-JNI-Example-master,0.67,0.67,1,1,1,1,0,1,1,0.8,0,1,0,1
AndroidDevWithCpp-master,1,1,0,1,1,1,0,0,0.89,0.89,0.5,1,0,1
AndroidJNIDemo-master,1,0,0.5,1,1,1,1,1,1,1,0,1,0,1
Break_it_all-main,1,1,1,1,1,1,0,1,1,0,0.71,1,1,1
dedekind-MKL-master,0,1,0.67,1,1,1,0,1,1,1,0,1,1,1
DevSlashLirc-master,1,1,1,1,1,1,1,0.8,1,0.33,1,1,1,1
extension_sdk_demo-master,1,1,1,1,1,1,1,1,1,0,0.32,1,0,1
faiss-center-master,1,0,1,1,1,1,0.09,1,1,0.5,0.11,1,1,1
FumoCement-main,1,1,1,1,1,1,1,0.25,1,0,1,1,0.8,1
gdal-warp-bindings-master,1,0,1,1,1,1,0,1,1,0,0,1,1,1
GrandPlan-main,1,0,1,1,1,1,1,1,1,0,0,1,1,1
hello-jniCallback-master,1,1,1,1,1,1,1,1,1,0.14,0.07,1,0,1
Intel_SGX_Proj-master,1,0.5,1,1,1,1,0,1,1,1,0,1,1,1
ipc-master,1,1,0,1,1,1,1,1,1,1,1,1,0,1
janot-master,1,1,1,1,1,1,1,1,1,0,1,1,0,1
JavaCAN-javacan-1.2,1,0,1,1,1,1,1,1,1,1,1,1,0,1
JavaCAN-master,1,0,0.67,1,1,1,1,1,1,1,0,1,1,1
JavaNativeUtils-master,0.14,0.36,0.67,1,1,1,0,1,1,0.51,0.38,1,0,1
jazzer-0.9,1,0,1,1,1,1,0,1,1,0,0,1,0,1
jdetector-master,0,0,0.33,1,1,1,1,1,1,0.89,1,1,0,1
jni_examples-master,1,1,1,1,1,1,1,1,1,0,0,1,1,1
jni-bind-Release-0.1.0-alpha,1,1,0,1,1,1,1,1,1,1,0.15,1,0,1
JniDemo-master,1,0,1,1,1,1,1,1,1,0.75,0,1,0,1
JNIHelper-master,1,0,1,1,1,1,1,1,1,1,0,1,1,1
jogg-master,1,0,0.8,1,1,1,1,0,0.96,0.69,1,1,0,1
jopus-master,1,1,0.75,1,1,1,1,0.88,0.89,0.57,0,1,0,1
jpa-master,0.1,1,1,1,1,1,1,1,1,0.92,0,1,0,1
jpegkit-android-master,1,1,0,1,1,1,1,1,1,1,0,1,0,1
jpostal-master,1,1,1,1,0.5,0.5,1,1,1,1,1,1,0,1
JTouchToolkit-master,1,0,0.67,1,1,1,1,1,1,1,0.25,1,0,1
jzorba-master,1,1,1,1,1,1,1,1,1,1,1,1,0,1
leveldbjni-master,0.32,1,0,1,1,1,1,1,1,1,1,1,1,1
libhpdf-AndroidLibrary-master,1,0.29,1,1,1,1,1,1,1,0.98,0,1,1,1
LibOQSTestApp-master,0.67,1,1,1,1,1,0,1,1,0.25,1,1,0,1
libpulse-android-master,1,1,0,1,1,1,1,1,1,0.64,0,1,0,1
libv4l2-master,1,1,0,1,1,1,1,1,1,1,1,1,0,1
LimeLight-master,1,0,0.33,1,1,1,1,1,1,1,0.02,1,0,1
ndk-master,0,0,0,1,1,0.2,1,0.5,1,1,0,1,0.04,1
ndk-someiplib-main,1,1,1,1,1,1,0,1,1,0,0,1,1,1
neutrino-master,1,0,1,1,1,1,0,1,1,0.6,0.2,1,0,1
of_core_jni-main,1,0,1,1,1,1,0.57,1,1,0.91,0.29,1,0,1
openssl4j-master,1,1,0,1,1,1,1,1,1,1,0,1,1,1
PYJA-master,1,1,0,1,1,1,0,1,1,0,0,1,0,1
RajawaliAssimpBridge-master,0.57,1,0,1,1,1,1,1,1,1,0,1,1,1
RajawaliTollBridge-main,0.81,1,0,1,1,1,1,1,1,1,0,1,1,1
RobotPathfinder-master,1,0,1,1,1,1,0,1,1,0,0,1,0,1
rtlsdrj-main,1,1,1,1,1,1,1,1,1,1,0,1,1,1
rustjblas-master,0,1,0,1,1,0,0,1,1,1,1,1,0,1
SDL2-Ndk-Opengles-SampleApp-master,0,0,1,1,1,1,1,1,1,1,0.01,1,0,1
sdljoystick4java-master,1,0,1,1,1,1,1,1,1,1,1,1,1,1
SoundTouch4Android-master,0.16,1,0,1,1,1,1,1,1,1,0,1,1,1
VideoEffectRendering-master,1,0,1,1,1,1,1,1,1,1,0,1,1,1
webrtc-java-0.2.0,1,0.47,0.8,1,1,1,0,1,1,0.68,0.01,1,1,1
webrtc-java-master,1,0.38,1,1,1,1,0,1,1,0.69,0,1,0,1
wolfcrypt-jni-master,0,0,0.17,1,1,1,0.02,1,1,0.1,0.2,1,1,1
wolfssljni-master,0.02,0.3,0.25,1,1,1,0,1,1,0.67,0,1,1,1
zmq-jni-master,1,0,1,1,1,1,0,1,1,0.08,1,1,0,1
zstd-jni-master,0.93,0.7,0.33,1,1,1,0.08,1,1,0.42,0.01,1,0,1
AVERAGE,0.80,0.56,0.64,1.00,0.98,0.95,0.63,0.94,0.98,0.65,0.30,1.00,0.40,1.00
