Project,Release,NCOE,LRA,MMM,TMS,HCL,NHE,EILC,ASMRV,UP,TMC,NSL,UNMI,UNMD,NURP,PEO
javacpp,javacpp-1.3,0,0,0,92.31,0,0,69.23,0,0,15.38,0,0,30.77,0,0
javacpp,javacpp-1.3.2,0,0,0,92.86,7.14,0,64.29,0,0,14.29,7.14,0,35.71,0,0
javacpp,javacpp-1.4,0,0,0,93.33,6.67,0,60,0,0,13.33,6.67,0,40,0,0
javacpp,javacpp-1.4.2,0,0,0,93.75,0,0,56.25,0,0,12.5,6.25,0,43.75,0,0
javacpp,javacpp-1.4.4,0,0,0,94.44,0,0,61.11,0,0,11.11,5.56,0,44.44,0,0
javacpp,javacpp-1.5,0,0,0,94.44,0,0,61.11,0,0,11.11,5.56,0,44.44,0,0
javacpp,javacpp-1.5.1-1,0,0,0,88.89,0,0,66.67,0,0,11.11,5.56,0,44.44,0,0
javacpp Average,,0,0,0,94.3807692307692,1.06230769230769,0,49.6423076923077,0,0,9.19923076923077,2.82615384615385,0,33.6746153846154,0,0
jpype,jpype-0.7.1,0,20,40,0,0,40,20,0,0,0,0,0,0,0,0
jpype,jpype-v0.5.4.5,0,0,100,0,0,100,0,100,0,0,0,0,0,0,0
jpype,jpype-v0.5.5.1,0,0,100,0,0,100,0,100,0,0,0,0,0,0,0
jpype,jpype-v0.5.5.4,0,0,100,0,0,50,0,50,0,0,0,0,0,0,0
jpype,jpype-v0.5.6,0,0,100,0,0,50,0,50,0,0,0,0,0,0,0
jpype,jpype-v0.5.7,0,0,100,0,0,33.33,0,33.33,0,0,0,0,0,0,0
jpype,jpype-v0.6.0,0,0,100,0,0,33.33,0,33.33,0,0,0,0,0,0,0
jpype,jpype-v0.6.1,0,0,100,0,0,33.33,0,33.33,0,0,0,0,0,0,0
jpype,jpype-v0.6.2,0,0,100,0,0,33.33,0,33.33,0,0,0,0,0,0,0
jpype,jpype-v0.6.3,0,0,100,0,0,33.33,0,33.33,0,0,0,0,0,0,0
jpype,jpype-v0.7,0,20,40,0,0,40,20,0,0,0,0,0,0,0,0
jpype Average,,0,3.63636363636364,89.0909090909091,0,0,49.6954545454546,3.63636363636364,42.4227272727273,0,0,0,0,0,0,0
pljava,pljava-1_2_0,0,0,6.67,86.67,0,6.67,13.33,6.67,0,0,0,13.33,0,0,0
pljava,pljava-1_3_0,0,0,5.26,89.47,0,5.26,10.53,5.26,0,0,0,10.53,0,0,0
pljava,pljava-1_4_0,0,0,5.26,89.47,0,5.26,10.53,5.26,0,0,0,10.53,0,0,0
pljava,pljava-1_4_2,0,0,5.26,89.47,0,5.26,10.53,5.26,0,0,0,10.53,0,0,0
pljava,pljava-V1_4_3,0,0,5.26,89.47,0,5.26,10.53,5.26,0,0,0,10.53,0,0,0
pljava,pljava-V1_5_0,0,0,5.26,84.21,0,5.26,10.53,5.26,5.26,0,0,10.53,0,0,0
pljava,pljava-V1_5_0b3,0,0,5.26,84.21,0,5.26,10.53,5.26,5.26,0,0,10.53,0,0,0
pljava,pljava-V1_5_1b1,0,0,5.56,88.89,0,5.56,11.11,5.56,0,0,0,11.11,0,0,0
pljava,pljava-V1_5_1b2,0,0,4.76,90.48,0,4.76,14.29,4.76,0,0,0,14.29,0,0,0
pljava,pljava-V1_5_2,0,0,4.76,90.48,0,4.76,14.29,4.76,0,0,0,14.29,0,0,0
pljava,pljava-V1_5_3,0,0,5,85,0,5,15,5,0,0,0,15,5,0,0
pljava,pljava-rel1_5_stable-base,0,0,5,85,0,5,10,5,5,0,0,10,0,0,0
pljava Average,,0,0,5.27583333333333,87.735,0,5.27583333333333,11.7666666666667,5.27583333333333,1.29333333333333,0,0,11.7666666666667,0.416666666666667,0,0
realm-java,realm-java-v0.90.0,0,5.56,0,16.67,0,33.33,27.78,0,0,38.89,0,27.78,16.67,0,0
realm-java,realm-java-v1.2.0,0,8.33,0,0,0,25,50,0,0,58.33,0,41.67,16.67,0,0
realm-java,realm-java-v2.3.2,0,5.26,0,36.84,0,21.05,36.84,0,0,15.79,0,26.32,5.26,0,0
realm-java,realm-java-v3.7.2,0,0,0,34.78,0,17.39,47.83,0,4.35,8.7,0,13.04,0,0,0
realm-java,realm-java-v4.4.0,0,0,0,31.82,0,18.18,45.45,0,4.55,9.09,0,9.09,0,0,0
realm-java,realm-java-v5.11.0,0,3.85,0,30.77,0,15.38,46.15,0,3.85,7.69,0,11.54,0,0,0
realm-java,realm-java-v5.15.0,0,3.85,0,30.77,0,15.38,46.15,0,3.85,7.69,0,11.54,0,0,0
realm-java,realm-java-v5.4.0,0,0,0,31.82,0,18.18,45.45,0,4.55,9.09,0,9.09,0,0,0
realm-java,realm-java-v5.7.1,0,4.35,0,30.43,0,17.39,43.48,0,4.35,8.7,0,8.7,0,0,0
realm-java,realm-java-v5.9.0,0,3.85,0,30.77,0,15.38,46.15,0,3.85,7.69,0,11.54,0,0,0
realm-java Average,,0,3.505,0,27.467,0,19.666,43.528,0,2.935,17.166,0,17.031,3.86,0,0
rocksdb,rocksdb-v5.0.2,2.17,0,6.52,67.39,0,8.7,8.7,2.17,0,6.52,2.17,13.04,4.35,2.17,0
rocksdb,rocksdb-v5.11.2,0,0,1.89,71.7,0,0,16.98,1.89,0,5.66,1.89,15.09,1.89,1.89,0
rocksdb,rocksdb-v5.14.3,0,0,1.89,71.7,0,0,16.98,1.89,0,5.66,1.89,15.09,1.89,1.89,0
rocksdb,rocksdb-v5.17.2,0,0,1.89,71.7,0,0,16.98,1.89,0,5.66,1.89,15.09,1.89,1.89,0
rocksdb,rocksdb-v5.18.3,0,0,1.64,65.57,0,0,14.75,1.64,0,4.92,1.64,13.11,1.64,1.64,0
rocksdb,rocksdb-v5.4.6,0,0,0,70.45,0,0,13.64,2.27,0,6.82,2.27,13.64,6.82,2.27,0
rocksdb,rocksdb-v5.6.2,0,0,0,74.42,0,0,13.95,2.33,0,6.98,2.33,13.95,2.33,2.33,0
rocksdb,rocksdb-v5.9.2,0,0,0,75.56,0,2.22,15.56,2.22,0,6.67,2.22,15.56,2.22,2.22,0
rocksdb,rocksdb-v6.1.1,0,0,1.69,76.27,0,1.69,15.25,1.69,0,5.08,1.69,13.56,0,1.69,0
rocksdb,rocksdb-v6.2.2,0,0,1.69,76.27,0,1.69,15.25,1.69,0,5.08,1.69,13.56,0,1.69,0
rocksdb Average,,0.217,0,1.721,72.103,0,1.43,14.804,1.968,0,5.905,1.968,14.169,2.303,1.968,0
vlc,vlc-3.0.0,0,0,0,62.5,0,6.25,25,6.25,0,0,6.25,12.5,6.25,6.25,6.25
vlc,vlc-3.0.11,0,0,0,62.5,0,6.25,25,6.25,0,0,6.25,12.5,6.25,6.25,6.25
vlc,vlc-3.0.13,0,0,0,60,0,6.67,26.67,6.67,0,0,6.67,13.33,6.67,6.67,6.67
vlc,vlc-3.0.92,0,0,0,50,0,7.14,35.71,7.14,0,0,14.29,21.43,7.14,14.29,0
vlc,vlc-3.0.96,0,0,0,50,0,7.14,35.71,7.14,0,0,14.29,21.43,7.14,14.29,0
vlc,vlc-3.1.0,0,0,0,50,0,7.14,35.71,7.14,0,0,14.29,21.43,7.14,14.29,0
vlc,vlc-3.1.2,0,0,0,50,0,7.14,35.71,7.14,0,0,14.29,21.43,7.14,14.29,0
vlc,vlc-3.1.6,0,0,0,50,0,7.14,35.71,7.14,0,0,14.29,21.43,7.14,14.29,0
vlc,vlc-3.1.7,0,0,0,50,0,7.14,35.71,7.14,0,0,14.29,21.43,7.14,14.29,0
vlc,vlc-android-2.5.4,0,6.25,0,50,0,6.25,25,6.25,0,6.25,12.5,12.5,6.25,12.5,6.25
vlc Average,,0,0.625,0,53.5,0,6.826,31.593,6.826,0,0.625,11.741,17.941,6.826,11.741,2.542
zstd-jni,zstd-jni-v0.4.4,0,0,0,66.67,0,0,66.67,0,0,0,0,66.67,0,0,0
zstd-jni,zstd-jni-v1.3.0-1,38.46,0,0,23.08,0,46.15,38.46,0,0,7.69,0,7.69,0,0,7.69
zstd-jni,zstd-jni-v1.3.2-2,38.46,0,0,23.08,0,46.15,38.46,0,0,7.69,0,7.69,0,0,7.69
zstd-jni,zstd-jni-v1.3.3-1,38.46,0,0,23.08,0,46.15,38.46,0,0,7.69,0,7.69,0,0,7.69
zstd-jni,zstd-jni-v1.3.4-1,35.71,0,7.14,21.43,0,42.86,35.71,0,0,7.14,0,7.14,0,0,7.14
zstd-jni,zstd-jni-v1.3.4-8,35.71,0,7.14,21.43,0,42.86,35.71,0,0,7.14,0,7.14,0,0,7.14
zstd-jni,zstd-jni-v1.3.5-3,35.71,0,7.14,14.29,0,42.86,35.71,0,0,7.14,0,7.14,0,0,35.71
zstd-jni,zstd-jni-v1.3.7-1,35.71,0,7.14,14.29,0,42.86,35.71,0,0,7.14,0,7.14,0,0,35.71
zstd-jni,zstd-jni-v1.3.8-1,35.71,0,7.14,14.29,0,42.86,35.71,0,0,7.14,0,7.14,7.14,0,35.71
zstd-jni,zstd-jni-v1.4.0-1,26.67,0,6.67,20,0,46.67,26.67,0,6.67,6.67,0,6.67,6.67,0,20
zstd-jni,zstd-jni-v1.4.2-1,26.67,0,6.67,20,0,46.67,26.67,0,6.67,6.67,0,6.67,6.67,0,20
zstd-jni Average,,31.57,0,4.45818181818182,23.7854545454545,0,40.5536363636364,37.6309090909091,0,1.21272727272727,6.55545454545455,0,12.6163636363636,1.86181818181818,0,16.7709090909091
